genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
PROD	PUL6	PROD_02831	gnl|HZI|PROD_35	9228	10856	+	24	PROD_02831	susD		
PROD	PUL7	PROD_00837	gnl|HZI|PROD_4	145726	149046	+	134870	PROD_00837	susC		
PROD	PUL7	PROD_00838	gnl|HZI|PROD_4	149097	150782	+	51	PROD_00838	susD		
PROD	PUL7	PROD_00839	gnl|HZI|PROD_4	150782	152755	+	0	PROD_00839			
PROD	PUL7	PROD_00840	gnl|HZI|PROD_4	152935	154530	+	180	PROD_00840			
PROD	PUL7	PROD_00841	gnl|HZI|PROD_4	154560	157778	+	30	PROD_00841	susC		
PROD	PUL7	PROD_00842	gnl|HZI|PROD_4	157802	159517	+	24	PROD_00842	susD		
PROD	PUL8	PROD_01145	gnl|HZI|PROD_6	183361	185100	-	23844	PROD_01145	susD		
PROD	PUL8	PROD_01146	gnl|HZI|PROD_6	185120	188686	-	20	PROD_01146	susC		
PROD	PUL9	PROD_01370	gnl|HZI|PROD_8	118806	121979	+	-69880	PROD_01370	susC		
PROD	PUL9	PROD_01371	gnl|HZI|PROD_8	122002	123657	+	23	PROD_01371	susD		
PROD	PUL9	PROD_01372	gnl|HZI|PROD_8	123711	125717	+	54	PROD_01372			
PROD	PUL9	PROD_01373	gnl|HZI|PROD_8	125735	128410	+	18	PROD_01373			
PROD	PUL9	PROD_01374	gnl|HZI|PROD_8	128518	130038	+	108	PROD_01374		GH5_4	
PROD	PUL9	PROD_01375	gnl|HZI|PROD_8	130066	133014	+	28	PROD_01375		GH31	
PROD	PUL9	PROD_01376	gnl|HZI|PROD_8	133124	135316	+	110	PROD_01376		GH3	
PROD	PUL9	PROD_01377	gnl|HZI|PROD_8	135418	136572	-	102	PROD_01377		GT4	
PROD	PUL9	PROD_01378	gnl|HZI|PROD_8	136811	138889	+	239	PROD_01378			
PROD	PUL9	PROD_01379	gnl|HZI|PROD_8	138768	140612	-	-121	PROD_01379			
PROD	PUL9	PROD_01380	gnl|HZI|PROD_8	140649	141383	-	37	PROD_01380		GT2_Glycos_transf_2	
