DATASET_BINARY
#Binary datasets are visualized as filled or empty symbols, depending on the value associated with a node (0 or 1).
#Each node can have multiple associated values, and each value will be represented by a symbol (defined in FIELD_SHAPES) with corresponding color and label (from FIELD_COLORS and FIELD_LABELS).
#Possible values (defined under DATA below) for each node are 1 (filled shapes), 0 (empty shapes) and -1 (completely omitted).

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,label1

#dataset color (can be changed later)
COLOR,#1a1a1a,#e31a1c,#fec44f
MAG609_01299,-1,1,-1
MAG609_01317,-1,1,-1
MAG609_01324,-1,1,-1
MAG609_01336,-1,1,-1
MAG609_01583,-1,1,-1
MAG609_01822,-1,1,-1
MAG609_01858,-1,1,-1
MAG609_01985,-1,1,-1
MAG609_02114,-1,1,-1
MAG609_02261,-1,1,-1
MAG609_02293,-1,1,-1
MAG609_02310,-1,1,-1
MAG609_02478,-1,1,-1
MAG610_00018,1,-1,-1
MAG610_00126,1,-1,-1
MAG610_00291,1,-1,-1
MAG610_00568,1,-1,-1
MAG610_00670,1,-1,-1
MAG610_00804,1,-1,-1
MAG610_00908,1,-1,-1
MAG610_00912,1,-1,-1
MAG610_00951,1,-1,-1
MAG610_00953,1,-1,-1
MAG610_01049,1,-1,-1
MAG610_01057,1,-1,-1
MAG610_01127,1,-1,-1
MAG610_01273,1,-1,-1
MAG610_01820,1,-1,-1
MAG610_02070,1,-1,-1
MAG610_02188,1,-1,-1
MAG610_02190,1,-1,-1
MAG610_02305,1,-1,-1
MAG610_02322,1,-1,-1
MAG610_02425,1,-1,-1
MAG610_02517,1,-1,-1
MAG610_02759,1,-1,-1
MAG611_00011,1,-1,-1
MAG611_00331,1,-1,-1
MAG611_00627,1,-1,-1
MAG611_00629,1,-1,-1
MAG611_00687,1,-1,-1
MAG611_01001,1,-1,-1
MAG611_01003,1,-1,-1
MAG611_01079,1,-1,-1
MAG611_01201,1,-1,-1
MAG611_01223,1,-1,-1
MAG611_01470,1,-1,-1
MAG611_01568,1,-1,-1
MAG611_01610,1,-1,-1
MAG611_01636,1,-1,-1
MAG611_01654,1,-1,-1
MAG611_01680,1,-1,-1
MAG611_02055,1,-1,-1
MAG611_02086,1,-1,-1
MAG612_00137,1,-1,-1
MAG612_00142,1,-1,-1
MAG612_00412,1,-1,-1
MAG612_00417,1,-1,-1
MAG612_00423,1,-1,-1
MAG612_00680,1,-1,-1
MAG612_00690,1,-1,-1
MAG612_00857,1,-1,-1
MAG612_00858,1,-1,-1
MAG612_00863,1,-1,-1
MAG612_01067,1,-1,-1
MAG612_01324,1,-1,-1
MAG612_01344,1,-1,-1
MAG612_01700,1,-1,-1
MAG612_01852,1,-1,-1
MAG612_01926,1,-1,-1
MAG612_01975,1,-1,-1
MAG612_02015,1,-1,-1
MAG612_02035,1,-1,-1
MAG612_02071,1,-1,-1
MAG612_02391,1,-1,-1
MAG612_02392,1,-1,-1
MAG612_02501,1,-1,-1
MAG612_02525,1,-1,-1
MAG612_02561,1,-1,-1
MAG613_00407,1,-1,-1
MAG613_00413,1,-1,-1
MAG613_00415,1,-1,-1
MAG613_00458,1,-1,-1
MAG613_00480,1,-1,-1
MAG613_00810,1,-1,-1
MAG613_00843,1,-1,-1
MAG613_00864,1,-1,-1
MAG613_00880,1,-1,-1
MAG613_00895,1,-1,-1
MAG613_00902,1,-1,-1
MAG613_01030,1,-1,-1
MAG613_01176,1,-1,-1
MAG613_01482,1,-1,-1
MAG613_01615,1,-1,-1
MAG613_01915,1,-1,-1
MAG613_02000,1,-1,-1
MAG613_02012,1,-1,-1
MAG613_02156,1,-1,-1
MAG613_02293,1,-1,-1
PINT_00867,-1,0,-1
PINT_01043,-1,0,-1
PINT_01251,-1,0,-1
PINT_01255,-1,0,-1
PINT_01265,-1,0,-1
PINT_01427,-1,0,-1
PINT_01461,-1,0,-1
PINT_01465,-1,0,-1
PINT_01542,-1,0,-1
PINT_01544,-1,0,-1
PINT_01685,-1,0,-1
PINT_01767,-1,0,-1
PINT_01777,-1,0,-1
PINT_01817,-1,0,-1
PINT_01819,-1,0,-1
PINT_01928,-1,0,-1
PINT_01930,-1,0,-1
PINT_01935,-1,0,-1
PINT_02085,-1,0,-1
PINT_02087,-1,0,-1
PINT_02091,-1,0,-1
PINT_02107,-1,0,-1
PINT_02110,-1,0,-1
PINT_02113,-1,0,-1
PINT_02498,-1,0,-1
PINT_02792,-1,0,-1
PMUR_00211,0,-1,-1
PMUR_00219,0,-1,-1
PMUR_00223,0,-1,-1
PMUR_00329,0,-1,-1
PMUR_00333,0,-1,-1
PMUR_01155,0,-1,-1
PMUR_01261,0,-1,-1
PMUR_01354,0,-1,-1
PMUR_02430,0,-1,-1
PMUR_02434,0,-1,-1
PROD_00473,0,-1,-1
PROD_00837,0,-1,-1
PROD_00841,0,-1,-1
PROD_01146,0,-1,-1
PROD_01370,0,-1,-1
PROD_01882,0,-1,-1
PROD_02118,0,-1,-1
PROD_02122,0,-1,-1
PROD_02216,0,-1,-1
PROD_02441,0,-1,-1
PROD_02445,0,-1,-1
PROD_02830,0,-1,-1
