locus_tag	ftype	length_bp	gene	EC_number	COG	product
PROD_00105	CDS	405				hypothetical protein
PROD_00106	CDS	1455				hypothetical protein
PROD_00107	CDS	2172				hypothetical protein
PROD_00108	CDS	207				hypothetical protein
PROD_00109	CDS	1497		2.1.1.72	COG0286	putative type I restriction enzymeP M protein
PROD_00110	CDS	1116				hypothetical protein
PROD_00111	CDS	1023				hypothetical protein
PROD_00112	CDS	3351				hypothetical protein
PROD_00113	CDS	828				hypothetical protein
PROD_00114	CDS	426				hypothetical protein
PROD_00115	CDS	1386				hypothetical protein
PROD_00116	CDS	807				hypothetical protein
PROD_00117	CDS	150				hypothetical protein
PROD_00118	CDS	273				hypothetical protein
PROD_00119	CDS	2391				hypothetical protein
PROD_00120	CDS	999				hypothetical protein
PROD_00121	CDS	528	fbiB	6.3.2.34		Coenzyme F420:L-glutamate ligase
PROD_00122	CDS	777				hypothetical protein
PROD_00123	CDS	519	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
PROD_00124	CDS	585	yhdE		COG0424	Maf-like protein YhdE
PROD_00125	CDS	411				hypothetical protein
PROD_00126	CDS	2412				hypothetical protein
PROD_00127	CDS	564				hypothetical protein
PROD_00128	CDS	399				hypothetical protein
PROD_00129	CDS	267				hypothetical protein
PROD_00130	CDS	177				hypothetical protein
PROD_00131	CDS	1854	mutA	5.4.99.2	COG1884	Methylmalonyl-CoA mutase small subunit
PROD_00132	CDS	2148	mutB	5.4.99.2	COG1884	Methylmalonyl-CoA mutase large subunit
PROD_00133	CDS	180				hypothetical protein
PROD_00134	CDS	1089	wbpI	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
PROD_00135	CDS	507				hypothetical protein
PROD_00136	CDS	726				hypothetical protein
PROD_00137	CDS	3438	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
PROD_00138	CDS	669	kdgA		COG0800	KHG/KDPG aldolase
PROD_00139	CDS	1023	iolC	2.7.1.92		5-dehydro-2-deoxygluconokinase
PROD_00140	CDS	1068	purR			HTH-type transcriptional repressor PurR
PROD_00141	CDS	1494	uxaA	4.2.1.7	COG2721	Altronate dehydratase
PROD_00142	CDS	1275	mleN		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
PROD_00143	CDS	1110				hypothetical protein
PROD_00144	CDS	1899	btuB_1			Vitamin B12 transporter BtuB
PROD_00145	CDS	204				hypothetical protein
PROD_00146	CDS	738		5.2.1.8		Putative peptidyl-prolyl cis-trans isomerase
PROD_00147	CDS	495		3.1.-.-	COG0322	Putative bifunctional exonuclease/endonuclease protein
PROD_00148	CDS	324				hypothetical protein
PROD_00149	CDS	363		2.8.1.-	COG0607	Sulfurtransferase
PROD_00150	CDS	1413	phoB	3.1.3.1	COG1785	Alkaline phosphatase 3
PROD_00151	CDS	1503				hypothetical protein
PROD_00152	CDS	3414				hypothetical protein
PROD_00153	CDS	2418		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
PROD_00154	CDS	648				hypothetical protein
PROD_00155	CDS	2211	yhgF		COG2183	Protein YhgF
PROD_00156	CDS	1941	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
PROD_00157	CDS	1083				hypothetical protein
PROD_00158	CDS	1215	queA_1	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
PROD_00159	CDS	699				hypothetical protein
PROD_00160	CDS	2574				hypothetical protein
PROD_00161	CDS	1704	ycf3_1			Photosystem I assembly protein Ycf3
PROD_00162	CDS	999				hypothetical protein
PROD_00163	CDS	1071				hypothetical protein
PROD_00164	CDS	870			COG1721	putative protein
PROD_00165	CDS	996				hypothetical protein
PROD_00166	CDS	744		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
PROD_00167	CDS	2340	bamA_1			Outer membrane protein assembly factor BamA
PROD_00168	CDS	441				hypothetical protein
PROD_00169	CDS	825	yycJ	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
PROD_00170	CDS	1320	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
PROD_00171	CDS	1068	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
PROD_00172	CDS	153				hypothetical protein
PROD_00173	CDS	918		1.1.1.81	COG0111	Hydroxypyruvate reductase
PROD_00174	CDS	1248				hypothetical protein
PROD_00175	CDS	597	yigZ		COG1739	IMPACT family member YigZ
PROD_00176	tRNA	89				tRNA-Ser(cga)
PROD_00177	CDS	93				hypothetical protein
PROD_00178	tRNA	75				tRNA-Asp(gtc)
PROD_00179	CDS	525	speG	2.3.1.57	COG1670	Spermidine N(1)-acetyltransferase
PROD_00180	CDS	1191				hypothetical protein
PROD_00181	CDS	411				hypothetical protein
PROD_00182	CDS	618	recR		COG0353	Recombination protein RecR
PROD_00183	CDS	1788	ettA		COG0488	Energy-dependent translational throttle protein EttA
PROD_00184	CDS	603	engB		COG0218	putative GTP-binding protein EngB
PROD_00185	CDS	1266	nqrF	1.6.5.8	COG2871	Na(+)-translocating NADH-quinone reductase subunit F
PROD_00186	CDS	627	nqrE	1.6.5.8	COG2209	Na(+)-translocating NADH-quinone reductase subunit E
PROD_00187	CDS	627	nqrD	1.6.5.8	COG1347	Na(+)-translocating NADH-quinone reductase subunit D
PROD_00188	CDS	735	nqrC	1.6.5.8	COG2869	Na(+)-translocating NADH-quinone reductase subunit C
PROD_00189	CDS	1161	nqrB	1.6.5.8	COG1805	Na(+)-translocating NADH-quinone reductase subunit B
PROD_00190	CDS	1350	nqrA	1.6.5.8	COG1726	Na(+)-translocating NADH-quinone reductase subunit A
PROD_00191	CDS	4464				hypothetical protein
PROD_00192	CDS	468				hypothetical protein
PROD_00193	CDS	2094				hypothetical protein
PROD_00194	CDS	960				hypothetical protein
PROD_00195	CDS	129				hypothetical protein
PROD_00196	CDS	1338	gdhA	1.4.1.3		NAD(P)-specific glutamate dehydrogenase
PROD_00197	CDS	1224	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
PROD_00198	CDS	813	uxuB	1.-.-.-	COG1028	putative oxidoreductase UxuB
PROD_00199	CDS	1401	uxaB	1.1.1.58	COG0246	Altronate oxidoreductase
PROD_00200	CDS	738				hypothetical protein
PROD_00201	CDS	2832	uvrA_1		COG0178	UvrABC system protein A
PROD_00202	tRNA	74				tRNA-Thr(cgt)
PROD_00203	tRNA	74				tRNA-Gly(ccc)
PROD_00204	CDS	2211	relA_1	2.7.6.5	COG0317	GTP pyrophosphokinase
PROD_00205	CDS	1518				hypothetical protein
PROD_00206	CDS	630				hypothetical protein
PROD_00207	CDS	2301	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
PROD_00208	CDS	1737	yfkN_1		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
PROD_00209	CDS	777	nudC_1	3.6.1.22		NADH pyrophosphatase
PROD_00210	CDS	825				hypothetical protein
PROD_00211	CDS	1320	tuaD	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase TuaD
PROD_00212	CDS	234				hypothetical protein
PROD_00213	CDS	1152				hypothetical protein
PROD_00214	CDS	528				hypothetical protein
PROD_00215	CDS	864	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
PROD_00216	CDS	591	hisH	2.4.2.-	COG0118	Imidazole glycerol phosphate synthase subunit HisH
PROD_00217	CDS	726	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
PROD_00218	CDS	759	hisF	4.1.3.-	COG0107	Imidazole glycerol phosphate synthase subunit HisF
PROD_00219	CDS	615	hisI	3.6.1.31		Histidine biosynthesis bifunctional protein HisIE
PROD_00220	CDS	699	ftsE		COG2884	Cell division ATP-binding protein FtsE
PROD_00221	CDS	1311	lysC	2.7.2.4	COG0527	Lysine-sensitive aspartokinase 3
PROD_00222	CDS	1170	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
PROD_00223	CDS	1170				hypothetical protein
PROD_00224	CDS	1158				hypothetical protein
PROD_00225	CDS	1986	fbp	3.1.3.11	COG3855	Fructose-1,6-bisphosphatase class 3
PROD_00226	CDS	2361	pcrA	3.6.4.12		ATP-dependent DNA helicase PcrA
PROD_00227	CDS	684	sigA_2		COG0568	RNA polymerase sigma factor SigA
PROD_00228	tRNA	75				tRNA-Arg(acg)
PROD_00229	CDS	180				hypothetical protein
PROD_00230	CDS	2121				hypothetical protein
PROD_00231	CDS	2451	lon2	3.4.21.53	COG0466	Lon protease 2
PROD_00232	CDS	1128	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
PROD_00233	CDS	1200				hypothetical protein
PROD_00234	CDS	1371	deaD_1	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
PROD_00235	CDS	840				hypothetical protein
PROD_00236	CDS	1389	mepA_1			Multidrug export protein MepA
PROD_00237	CDS	180				hypothetical protein
PROD_00238	CDS	636				hypothetical protein
PROD_00239	CDS	957		1.-.-.-	COG1052	Putative 2-hydroxyacid dehydrogenase
PROD_00240	CDS	1278	rarA		COG2256	Replication-associated recombination protein A
PROD_00241	CDS	792				hypothetical protein
PROD_00242	CDS	2202	hppA1	3.6.1.1	COG3808	Putative K(+)-stimulated pyrophosphate-energized sodium pump
PROD_00243	CDS	1467				hypothetical protein
PROD_00244	CDS	831	glgA_1	2.4.1.21		Glycogen synthase
PROD_00245	CDS	855	panC	6.3.2.1	COG0414	Pantothenate synthetase
PROD_00246	CDS	345	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
PROD_00247	CDS	426				hypothetical protein
PROD_00248	CDS	153				hypothetical protein
PROD_00249	CDS	1566	pccB	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
PROD_00250	CDS	405				hypothetical protein
PROD_00251	CDS	1626		3.6.3.-		Putative multidrug export ATP-binding/permease protein
PROD_00252	CDS	585	ogt_1	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
PROD_00253	CDS	471				hypothetical protein
PROD_00254	CDS	888				hypothetical protein
PROD_00255	CDS	726				hypothetical protein
PROD_00256	CDS	1260				hypothetical protein
PROD_00257	CDS	1716	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
PROD_00258	CDS	1428	lapB_1			Lipopolysaccharide assembly protein B
PROD_00259	CDS	642				hypothetical protein
PROD_00260	CDS	1071	algA_1		COG0662	Alginate biosynthesis protein AlgA
PROD_00261	CDS	1095	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
PROD_00262	CDS	1170	fcl	1.1.1.271	COG0451	GDP-L-fucose synthase
PROD_00263	CDS	726		1.-.-.-		putative oxidoreductase
PROD_00264	CDS	2319				hypothetical protein
PROD_00265	CDS	2205	dap4	3.4.14.5		Dipeptidyl aminopeptidase 4
PROD_00266	CDS	267				hypothetical protein
PROD_00267	CDS	1101				hypothetical protein
PROD_00268	CDS	864				hypothetical protein
PROD_00269	CDS	990			COG1702	PhoH-like protein
PROD_00270	CDS	951	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
PROD_00271	CDS	735	ubiE_1	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
PROD_00272	CDS	747	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
PROD_00273	CDS	1191	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
PROD_00274	tRNA	76				tRNA-Arg(tct)
PROD_00275	tRNA	75				tRNA-Arg(acg)
PROD_00276	CDS	603	pnuC		COG3201	Nicotinamide riboside transporter PnuC
PROD_00277	CDS	2370				hypothetical protein
PROD_00278	CDS	930	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
PROD_00279	CDS	945	qmcA		COG0330	Protein QmcA
PROD_00280	CDS	450				hypothetical protein
PROD_00281	CDS	918				hypothetical protein
PROD_00282	CDS	729	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
PROD_00283	tRNA	73				tRNA-Glu(ctc)
PROD_00284	CDS	99				hypothetical protein
PROD_00285	CDS	921				hypothetical protein
PROD_00286	CDS	807				hypothetical protein
PROD_00287	CDS	1224				hypothetical protein
PROD_00288	CDS	1023				hypothetical protein
PROD_00289	CDS	1362	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
PROD_00290	CDS	177				hypothetical protein
PROD_00291	CDS	519	rplI		COG0359	50S ribosomal protein L9
PROD_00292	CDS	267	rpsR			30S ribosomal protein S18
PROD_00293	CDS	345	rpsF			30S ribosomal protein S6
PROD_00294	CDS	273				hypothetical protein
PROD_00295	CDS	252				hypothetical protein
PROD_00296	CDS	699	walR		COG0745	Transcriptional regulatory protein WalR
PROD_00297	CDS	1560	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
PROD_00298	CDS	2157	fusA_1		COG0480	Elongation factor G
PROD_00299	CDS	1116	hemN	1.3.99.-	COG0635	Oxygen-independent coproporphyrinogen-III oxidase-like protein
PROD_00300	CDS	345	rplT		COG0292	50S ribosomal protein L20
PROD_00301	CDS	198	rpmI		COG0291	50S ribosomal protein L35
PROD_00302	CDS	693	infC			Translation initiation factor IF-3
PROD_00303	CDS	1968	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
PROD_00304	CDS	606				hypothetical protein
PROD_00305	CDS	1932	ycf3_2			Photosystem I assembly protein Ycf3
PROD_00306	CDS	564	def	3.5.1.88	COG0242	Peptide deformylase
PROD_00307	CDS	315				hypothetical protein
PROD_00308	CDS	486				hypothetical protein
PROD_00309	CDS	213				hypothetical protein
PROD_00310	CDS	348				hypothetical protein
PROD_00311	CDS	261				hypothetical protein
PROD_00312	CDS	762	phnP	3.1.4.55	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase
PROD_00313	CDS	1032	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
PROD_00314	CDS	828				hypothetical protein
PROD_00315	CDS	1041	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
PROD_00316	CDS	1278				hypothetical protein
PROD_00317	CDS	312				hypothetical protein
PROD_00318	CDS	264				hypothetical protein
PROD_00319	CDS	144				hypothetical protein
PROD_00320	CDS	1068				hypothetical protein
PROD_00321	CDS	378	yccF		COG3304	Inner membrane protein YccF
PROD_00322	CDS	300				hypothetical protein
PROD_00323	CDS	399	fklB	5.2.1.8	COG0545	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase
PROD_00324	CDS	279				hypothetical protein
PROD_00325	CDS	162				hypothetical protein
PROD_00326	CDS	543	rbr_1		COG1592	Rubrerythrin
PROD_00327	CDS	927	oxyR			Hydrogen peroxide-inducible genes activator
PROD_00328	CDS	411	mutT2	3.6.1.55	COG0494	Putative 8-oxo-dGTP diphosphatase 2
PROD_00329	CDS	879				hypothetical protein
PROD_00330	CDS	678	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
PROD_00331	CDS	552				hypothetical protein
PROD_00332	CDS	1446		3.2.1.1		Alpha-amylase
PROD_00333	CDS	843				hypothetical protein
PROD_00334	CDS	1404	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
PROD_00335	CDS	1203				hypothetical protein
PROD_00336	CDS	153				hypothetical protein
PROD_00337	CDS	195				hypothetical protein
PROD_00338	CDS	1737	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
PROD_00339	CDS	1911	deaD_2	3.6.4.13		ATP-dependent RNA helicase DeaD
PROD_00340	CDS	498				hypothetical protein
PROD_00341	CDS	804				hypothetical protein
PROD_00342	CDS	1998	resA_1			Thiol-disulfide oxidoreductase ResA
PROD_00343	CDS	2814				hypothetical protein
PROD_00344	CDS	2409		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
PROD_00345	CDS	1149				Outer membrane protein 41
PROD_00346	CDS	513	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
PROD_00347	CDS	1194	cobT	2.4.2.21		Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
PROD_00348	CDS	792	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
PROD_00349	CDS	534	pspA	3.1.3.3	COG0406	Phosphoserine phosphatase 1
PROD_00350	CDS	549				hypothetical protein
PROD_00351	CDS	777	korB_1	1.2.7.3	COG1013	2-oxoglutarate oxidoreductase subunit KorB
PROD_00352	CDS	1083	korA_1	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
PROD_00353	CDS	231	ndhI_1	1.6.5.11		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
PROD_00354	CDS	189				hypothetical protein
PROD_00355	CDS	879	folD			Bifunctional protein FolD protein
PROD_00356	CDS	1365	ffh		COG0541	Signal recognition particle protein
PROD_00357	CDS	195				hypothetical protein
PROD_00358	CDS	912				hypothetical protein
PROD_00359	CDS	795				hypothetical protein
PROD_00360	CDS	1065	kdsA_1	2.5.1.55		2-dehydro-3-deoxyphosphooctonate aldolase
PROD_00361	CDS	1185	dapL_1	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
PROD_00362	CDS	843	pheA		COG0077	P-protein
PROD_00363	CDS	384	crcB			Putative fluoride ion transporter CrcB
PROD_00364	CDS	882	loiP_1	3.4.24.-	COG0501	Metalloprotease LoiP
PROD_00365	CDS	360				hypothetical protein
PROD_00366	CDS	588				hypothetical protein
PROD_00367	CDS	1077	aroC	4.2.3.5	COG0082	Chorismate synthase
PROD_00368	CDS	270				hypothetical protein
PROD_00369	CDS	588				hypothetical protein
PROD_00370	CDS	663				hypothetical protein
PROD_00371	CDS	327	sugE			Quaternary ammonium compound-resistance protein SugE
PROD_00372	CDS	690				hypothetical protein
PROD_00373	CDS	387				hypothetical protein
PROD_00374	CDS	450				hypothetical protein
PROD_00375	CDS	2082				hypothetical protein
PROD_00376	CDS	894				hypothetical protein
PROD_00377	CDS	366	hxlR		COG1733	HTH-type transcriptional activator HxlR
PROD_00378	CDS	579				hypothetical protein
PROD_00379	CDS	228				hypothetical protein
PROD_00380	CDS	606	ydeA	3.2.-.-	COG0693	putative protease YdeA
PROD_00381	CDS	837				hypothetical protein
PROD_00382	CDS	426	yjaB_1	2.3.1.-	COG0454	putative N-acetyltransferase YjaB
PROD_00383	CDS	1533				hypothetical protein
PROD_00384	CDS	1431	ndhB	1.6.5.11		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
PROD_00385	CDS	1452	ndhD1	1.6.5.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
PROD_00386	CDS	1992	nuoL	1.6.5.11	COG1009	NADH-quinone oxidoreductase subunit L
PROD_00387	CDS	309	nuoK	1.6.5.11	COG0713	NADH-quinone oxidoreductase subunit K
PROD_00388	CDS	543				hypothetical protein
PROD_00389	CDS	528	ndhI_2	1.6.5.11		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
PROD_00390	CDS	1089	nuoH	1.6.5.11	COG1005	NADH-quinone oxidoreductase subunit H
PROD_00391	CDS	1569	nuoC	1.6.5.11		NADH-quinone oxidoreductase subunit C/D
PROD_00392	CDS	615	nqo6	1.6.5.11	COG0377	NADH-quinone oxidoreductase subunit 6
PROD_00393	CDS	351	ndhC	1.6.5.-		NAD(P)H-quinone oxidoreductase subunit 3
PROD_00394	CDS	177				hypothetical protein
PROD_00395	tRNA	74				tRNA-Phe(gaa)
PROD_00396	CDS	2529				hypothetical protein
PROD_00397	CDS	546				hypothetical protein
PROD_00398	CDS	441				hypothetical protein
PROD_00399	CDS	564	lemA		COG1704	Protein LemA
PROD_00400	CDS	984	htpX	3.4.24.-		Protease HtpX
PROD_00401	CDS	3141				hypothetical protein
PROD_00402	CDS	3693				hypothetical protein
PROD_00403	CDS	2844	lacZ_1	3.2.1.23		Beta-galactosidase
PROD_00404	CDS	2022				hypothetical protein
PROD_00405	CDS	174				hypothetical protein
PROD_00406	CDS	831			COG3039	IS5 family transposase ISBf6
PROD_00407	CDS	306				hypothetical protein
PROD_00408	CDS	294				hypothetical protein
PROD_00409	CDS	1557				hypothetical protein
PROD_00410	CDS	789				hypothetical protein
PROD_00411	CDS	3303				hypothetical protein
PROD_00412	CDS	378				hypothetical protein
PROD_00413	CDS	1083				hypothetical protein
PROD_00414	CDS	717				hypothetical protein
PROD_00415	CDS	396				hypothetical protein
PROD_00416	CDS	810				hypothetical protein
PROD_00417	CDS	1041				hypothetical protein
PROD_00418	CDS	618				hypothetical protein
PROD_00419	CDS	1329	xerC_1			Tyrosine recombinase XerC
PROD_00420	CDS	1320				hypothetical protein
PROD_00421	CDS	534				hypothetical protein
PROD_00422	CDS	1386				hypothetical protein
PROD_00423	CDS	1056	yhcG_1	3.1.-.-	COG4804	Putative nuclease YhcG
PROD_00424	CDS	1470				hypothetical protein
PROD_00425	CDS	669				hypothetical protein
PROD_00426	CDS	3372				hypothetical protein
PROD_00427	CDS	1533	xylE_1			D-xylose-proton symporter
